number;id;exp_x;exp_y;coeff
27;d9a75321cdb9a284e63c5033fb3d28d9;0,1,0,1;0,0,1,1;-0.06867,-0.38927,-0.2677,-0.14042
28;53f078ff748024ed4094d97047729e09;0,1,0,1;0,0,1,1;0.06867,0.38927,0.2677,0.14042
29;a6a068a075e6d37a96b3922d38cc56b0;0,1,0,1;0,0,1,1;-0.088756,0.59414,0.22867,0.17015
30;d04baa82e0f807196c45450786d616ab;0,1,0,1;0,0,1,1;0.088756,-0.59414,-0.22867,-0.17015
31;8ab022b51f3a0eb6eb1df8b59a24239d;0,1,0,1;0,0,1,1;0.096849,-0.29194,-0.12578,-0.15135
32;17948c227da6801974ca93df791f3d0b;0,1,0,1;0,0,1,1;-0.096849,0.29194,0.12578,0.15135
33;31a96bffd61f7ac0b86b73592d9eaf68;0,1,0,1;0,0,1,1;0.48624,-0.16681,-0.27968,-0.079273
34;0d14cc8eb7c6a44c6c52f531773443a7;0,1,0,1;0,0,1,1;-0.48624,0.16681,0.27968,0.079273
35;d76d017db9756c1f38bf537388cae577;0,1,0,1;0,0,1,1;-0.12558,-0.31209,-0.12519,-0.04437
36;db00db2b66a83c72fa1b39fd5520dcb6;0,1,0,1;0,0,1,1;0.12558,0.31209,0.12519,0.04437
37;9c469d7854cdb09290680f17cdd18fee;0,1,0,1;0,0,1,1;0.33739,0.36038,0.41965,-0.17322
38;99ff79afba68b5250e46eb1ee62ae5e6;0,1,0,1;0,0,1,1;-0.33739,-0.36038,-0.41965,0.17322
39;01bda8b6c1530f13e2822592fa432cf1;0,1,0,1;0,0,1,1;-0.013385,0.045853,-0.40795,0.35323
40;ee810b08c686e3a3afa81ad42f7f15e8;0,1,0,1;0,0,1,1;0.013385,-0.045853,0.40795,-0.35323
41;677f5179ac04287b6689172084719a2e;0,1,0,1;0,0,1,1;0.32796,-0.085067,-0.38759,0.055252
42;6d56064f2449aecacdc207d96f211cb2;0,1,0,1;0,0,1,1;-0.32796,0.085067,0.38759,-0.055252
43;fe5b11344b95fdcfa6af8904f85506fc;0,1,0,1;0,0,1,1;-0.31939,0.389,0.28541,0.42977
44;5202ccf349f4fc814bf5c923c72231cc;0,1,0,1;0,0,1,1;0.31939,-0.389,-0.28541,-0.42977
45;27053ac05457596eee70682dd594da4d;0,1,0,1;0,0,1,1;-0.37663,-0.43093,-0.16014,0.065913
46;29ca813e1fe05bcf4052522de626e4c5;0,1,0,1;0,0,1,1;0.37663,0.43093,0.16014,-0.065913
47;e649a3f2ae11371a7cfcb07663178fa7;0,1,0,1;0,0,1,1;0.035091,0.1746,0.09501,-0.34674
48;686e5fe6d8a56be54528511d1b40c93b;0,1,0,1;0,0,1,1;-0.035091,-0.1746,-0.09501,0.34674
49;49bee50c69079fdfde677f926724c95b;0,1,0,1;0,0,1,1;0.15949,-0.071743,0.23248,-0.44919
50;3f3751d6fd56585455f6a63d05723c03;0,1,0,1;0,0,1,1;-0.15949,0.071743,-0.23248,0.44919
51;d078b7e29166c4d028c853565a19235f;0,1,0,1;0,0,1,1;-0.41478,0.43222,0.45736,0.44462
52;ab5c95acf4b44ca4f65e8ca19abd5bbc;0,1,0,1;0,0,1,1;0.41478,-0.43222,-0.45736,-0.44462
53;65f31161e67c664d073097750d52ea87;0,1,0,1;0,0,1,1;-0.095699,0.19351,-0.47392,-0.1032
54;88f075d588c263435b1347c4d9af9010;0,1,0,1;0,0,1,1;0.095699,-0.19351,0.47392,0.1032
55;0a0490f39cfd8ee78c6702c182ca1e05;0,1,0,1;0,0,1,1;-0.0035452,-0.036211,-0.59109,-0.2398
56;bf9c480a2edb46c3f81bcbcf358633c4;0,1,0,1;0,0,1,1;0.0035452,0.036211,0.59109,0.2398
57;6ce56bb6bc6122f0d93eee39e4ad3bb5;0,1,0,1;0,0,1,1;0.027054,-0.57815,-0.12794,-0.0049008
58;ad55bb79fd403430527376f6fb6b1f47;0,1,0,1;0,0,1,1;-0.027054,0.57815,0.12794,0.0049008
59;6e76880149bc49a16798075ad45f1f56;0,1,0,1;0,0,1,1;0.31132,-0.11079,-0.22506,-0.25725
60;4b71129f6f00b77b214cb4a586b51da9;0,1,0,1;0,0,1,1;-0.31132,0.11079,0.22506,0.25725
61;f832e235897d8989d71d31ce8f768593;0,1,0,1;0,0,1,1;-0.20022,-0.24073,-0.066378,0.34649
62;69872bcdee60e679c21d79c10ed5236a;0,1,0,1;0,0,1,1;0.20022,0.24073,0.066378,-0.34649
63;89a74adea4968dd705f872347f7c6ce0;0,1,0,1;0,0,1,1;0.35502,-0.40232,0.32407,0.32116
64;c4606645bd183ca45b8e070f62c9bc24;0,1,0,1;0,0,1,1;-0.35502,0.40232,-0.32407,-0.32116
65;473d09fe0ed4703eb4d7c18968a90033;0,1,0,1;0,0,1,1;-0.10758,-0.28415,-0.44691,0.31978
66;a3909e4e7a67ffed17809e0a3abb7acd;0,1,0,1;0,0,1,1;0.10758,0.28415,0.44691,-0.31978
67;142eb88666275710c9f8ec08d1f33a79;0,1,0,1;0,0,1,1;0.4872,-0.039474,-0.30589,-0.17684
68;25befb468d8030f52093e0227610f771;0,1,0,1;0,0,1,1;-0.4872,0.039474,0.30589,0.17684
69;804292591070c08cd22d271991be33e6;0,1,0,1;0,0,1,1;0.042524,-0.1167,-0.078213,-0.66334
70;dbdc141a330399c558f69b8930cf23b1;0,1,0,1;0,0,1,1;-0.042524,0.1167,0.078213,0.66334
71;2da20de77709c9d608a6a56e1d4b1eb0;0,1,0,1;0,0,1,1;0.10533,0.04108,0.057623,-0.57473
72;d04e22c93df2e0b7448fdc01fb86ce93;0,1,0,1;0,0,1,1;-0.10533,-0.04108,-0.057623,0.57473
73;d668be623c03abfb66a130eac04e054b;0,1,0,1;0,0,1,1;-0.32744,-0.14618,-0.037548,-0.2977
74;6c32801fc64e154f0362c3339c9cc49e;0,1,0,1;0,0,1,1;0.32744,0.14618,0.037548,0.2977
75;e2323e9290ef12c5bfba2f1515f767d8;0,1,0,1;0,0,1,1;0.18873,-0.42315,-0.18292,-0.12098
76;8cbe701127afc8b40c0d54316bd35b9d;0,1,0,1;0,0,1,1;-0.18873,0.42315,0.18292,0.12098
77;838f74c61338c8ea8af9643df83f4c70;0,1,0,1;0,0,1,1;0.50397,0.19558,-0.21235,0.40985
78;9c1b26b3e31bd49ead5f7884de77b5fc;0,1,0,1;0,0,1,1;-0.50397,-0.19558,0.21235,-0.40985
79;ee748f13b34ecbf19aa554dc18ff9f94;0,1,0,1;0,0,1,1;-0.17889,0.075097,-0.71997,-0.064953
80;3f41105791b3843f1ec8deaf7e078ea4;0,1,0,1;0,0,1,1;0.17889,-0.075097,0.71997,0.064953
81;8f72f34de51ff685ed50414a6d0adec4;0,1,0,1;0,0,1,1;-0.13976,-0.39929,-0.18719,0.038764
82;7af947d1f67b48029a2cfc3bdc1973dc;0,1,0,1;0,0,1,1;0.13976,0.39929,0.18719,-0.038764
83;67634ad1a110c379b98d3d90e16443df;0,1,0,1;0,0,1,1;0.19187,-0.61508,-0.28883,-0.13988
84;2ad0dde8006923032f14fbf385d78736;0,1,0,1;0,0,1,1;-0.19187,0.61508,0.28883,0.13988
85;07cff5fb83015ae7cee8c15deb62d31d;0,1,0,1;0,0,1,1;-0.064377,-0.42753,0.39443,-0.010898
86;40e945e93ae5ad078168b5ad253d638c;0,1,0,1;0,0,1,1;0.064377,0.42753,-0.39443,0.010898
87;2babab3a8f8d28c707d242eb8b970f17;0,1,0,1;0,0,1,1;-0.6203,-0.22764,0.23466,-0.23559
88;6d1ce5810f395c9cf240fab54e1cd0f6;0,1,0,1;0,0,1,1;0.6203,0.22764,-0.23466,0.23559
89;458e52c72537b1cc3d96d20b225963ff;0,1,0,1;0,0,1,1;-0.14939,0.16906,0.23048,-0.083528
90;c462ab1cc4dd0821f5a42dd03d2c9dc0;0,1,0,1;0,0,1,1;0.14939,-0.16906,-0.23048,0.083528
91;7553acc3eb6eea72ecbcb77434cf89fb;0,1,0,1;0,0,1,1;-0.11535,-0.3546,-0.10867,-0.1069
92;a3c339d4e5c433614d111453b8383c19;0,1,0,1;0,0,1,1;0.11535,0.3546,0.10867,0.1069
93;9409f901f5c24b049404740f2363b6d1;0,1,0,1;0,0,1,1;-0.27468,0.29672,-0.34891,-0.22649
94;2d33c4a50847c847703adbd3bda8653d;0,1,0,1;0,0,1,1;0.27468,-0.29672,0.34891,0.22649
95;cb3d1f1fffed9b756f6fd4632607b709;0,1,0,1;0,0,1,1;0.049388,-0.091662,0.42532,0.20737
96;de4ee1490683d2539547e0ae28ab0e55;0,1,0,1;0,0,1,1;-0.049388,0.091662,-0.42532,-0.20737
97;6ac7fcad207cd6a69a03a4e35be81c86;0,1,0,1;0,0,1,1;-0.14491,-0.11403,-0.41784,-0.23063
98;328d1dda15e7a4d03e9b21ce4162ac9d;0,1,0,1;0,0,1,1;0.14491,0.11403,0.41784,0.23063
99;1657ff81fcfb17be2b83480110b5ca94;0,1,0,1;0,0,1,1;-0.22869,-0.26511,-0.04009,-0.19767
100;6d01275578eb8170fdca791afdd5f8ac;0,1,0,1;0,0,1,1;0.22869,0.26511,0.04009,0.19767
101;8bfc82e3276a94df7655ef733cf054e4;0,1,0,1;0,0,1,1;-0.14143,0.36653,-0.18392,-0.22054
102;9168dfc6cd682dfe0534c56b2caadebe;0,1,0,1;0,0,1,1;0.14143,-0.36653,0.18392,0.22054
103;11f5e52a62eb58167b79912c4e48701d;0,1,0,1;0,0,1,1;0.029417,-0.051845,-0.18211,0.60857
104;720b9efbd5d0f2de3ffe7f02e24a3e34;0,1,0,1;0,0,1,1;-0.029417,0.051845,0.18211,-0.60857
105;c82f876b23fa31c72177d31b80b5f1c2;0,1,0,1;0,0,1,1;-0.18102,0.20988,-0.35968,0.16535
106;729340e0bc7e2afb7db25c90f9f2afec;0,1,0,1;0,0,1,1;0.18102,-0.20988,0.35968,-0.16535
107;293597555ed19cb887d87ae57e7826fc;0,1,0,1;0,0,1,1;-0.4908,-0.20112,0.2584,-0.44339
108;a173aab31dbd8b2839920d523816a925;0,1,0,1;0,0,1,1;0.4908,0.20112,-0.2584,0.44339
109;67be8edead5437e17bb8731a539d8125;0,1,0,1;0,0,1,1;0.36794,0.10202,0.085131,-0.5914
110;749c28c0d9bc93a13f19b7d402eef98b;0,1,0,1;0,0,1,1;-0.36794,-0.10202,-0.085131,0.5914
111;f3587448de9c5fad73fbc6b3e4f735a3;0,1,0,1;0,0,1,1;0.34555,0.14417,-0.022795,0.24721
112;0c917fcb7c4eb788931e688823aa5b5a;0,1,0,1;0,0,1,1;-0.34555,-0.14417,0.022795,-0.24721
113;373bc7fbf3dfabf8c8d9bb94bcfefd89;0,1,0,1;0,0,1,1;-0.045013,0.7404,-0.045963,0.084485
114;759668f0f69846f9a5aa195ba0968f7b;0,1,0,1;0,0,1,1;0.045013,-0.7404,0.045963,-0.084485
115;018fc86be180e6f9a557c91cce5e4796;0,1,0,1;0,0,1,1;0.12692,-0.22064,0.005014,0.0094404
116;ef54dd2bae16daa3ee66b9e1d995cf31;0,1,0,1;0,0,1,1;-0.12692,0.22064,-0.005014,-0.0094404
117;786b1cedf5879f91e4377896a1a547cd;0,1,0,1;0,0,1,1;0.13655,-0.15161,0.2431,0.51495
118;4b013aa0d15e09326f8aa776fe3026ce;0,1,0,1;0,0,1,1;-0.13655,0.15161,-0.2431,-0.51495
119;efa46049868439318899614fd5e68007;0,1,0,1;0,0,1,1;0.1519,-0.027555,0.0040386,0.67964
120;106918d84b53538173e528d7a657c538;0,1,0,1;0,0,1,1;-0.1519,0.027555,-0.0040386,-0.67964
121;f6ab9deb04aeb466076f9263f19bc8f1;0,1,0,1;0,0,1,1;-0.23415,-0.29456,0.36346,-0.0059115
122;95d4786635975dc10a58d92f43fcc5e7;0,1,0,1;0,0,1,1;0.23415,0.29456,-0.36346,0.0059115
123;1489e3d999e4c483db21335d0e201086;0,1,0,1;0,0,1,1;0.065272,-0.17062,-0.14714,0.087614
124;9ce6ea24eee6c0f986ee8cdbcefcf31f;0,1,0,1;0,0,1,1;-0.065272,0.17062,0.14714,-0.087614
125;c80eb7941cce1e56f9b6abee8abd4831;0,1,0,1;0,0,1,1;0.32441,0.36514,0.13321,-0.24509
126;6adcab3f7a405aece715968ffc7fc43e;0,1,0,1;0,0,1,1;-0.32441,-0.36514,-0.13321,0.24509
127;166879473ebfd187b3bdf688d6885c44;0,1,0,1;0,0,1,1;0.46418,-0.35138,0.31825,0.29417
128;5d3504671d77992b0b3cce20de0b7a8b;0,1,0,1;0,0,1,1;-0.46418,0.35138,-0.31825,-0.29417
129;990b4917eb2488de96a5e748738c8968;0,1,0,1;0,0,1,1;-0.024482,0.3545,-0.09847,0.29268
130;eb8251e217480163e8955dd4c1674799;0,1,0,1;0,0,1,1;0.024482,-0.3545,0.09847,-0.29268
131;5b57c9c4290a1752a18fb9fb0b616adf;0,1,0,1;0,0,1,1;-0.54679,0.15355,-0.25385,-0.20707
132;d56f124f6c3eb5ddecde2cb05305da50;0,1,0,1;0,0,1,1;0.54679,-0.15355,0.25385,0.20707
133;793476b5bf8b0388494385921989210f;0,1,0,1;0,0,1,1;0.28295,-0.00089003,0.18272,0.11693
134;ebcf024feb2413626876e6e20712f774;0,1,0,1;0,0,1,1;-0.28295,0.00089003,-0.18272,-0.11693
135;acf6c538f233fe58c720806b20232fde;0,1,0,1;0,0,1,1;0.13748,-0.47642,0.070709,0.42218
136;db4de0c9e8fd8e8333fbcef7760f8114;0,1,0,1;0,0,1,1;-0.13748,0.47642,-0.070709,-0.42218
137;d24d366d52547f6ac1f54bdbc012c517;0,1,0,1;0,0,1,1;-0.11628,-0.25925,-0.10326,-0.34222
138;b6ac2f2535db910886dd0c3be26fc7b1;0,1,0,1;0,0,1,1;0.11628,0.25925,0.10326,0.34222
139;86791adeb24851ae9bd3f4419416f295;0,1,0,1;0,0,1,1;-0.2436,0.030447,0.33005,0.023516
140;7ab7046e3fa23fd4161c3d644e6640d6;0,1,0,1;0,0,1,1;0.2436,-0.030447,-0.33005,-0.023516
141;d38363ef337fa0e6d9a3526c2462b835;0,1,0,1;0,0,1,1;0.29859,-0.41682,-0.012078,-0.079572
142;885f47fd2b2bb7df443d41f1b67dcdca;0,1,0,1;0,0,1,1;-0.29859,0.41682,0.012078,0.079572
143;0844075d65fda1cdd6bb94ed2ee20fbb;0,1,0,1;0,0,1,1;0.095793,-0.27264,-0.20158,-0.080789
144;e60582d89a03115c202373d593f22304;0,1,0,1;0,0,1,1;-0.095793,0.27264,0.20158,0.080789
145;a4c9aa886ea3f320689260625bf18213;0,1,0,1;0,0,1,1;0.19514,0.11195,-0.51211,0.27989
146;a9e5c12b7b68742657a86c52bd5ebca1;0,1,0,1;0,0,1,1;-0.19514,-0.11195,0.51211,-0.27989
147;742b7e6e1ef15f1a6f194b635bff9c23;0,1,0,1;0,0,1,1;0.044238,-0.25437,-0.00060471,0.69236
148;e0356ac3ed3506a9e2074c6f417ea81c;0,1,0,1;0,0,1,1;-0.044238,0.25437,0.00060471,-0.69236
149;33b21cf9a86d657806461b14db6d524d;0,1,0,1;0,0,1,1;0.04558,0.4328,0.25955,-0.27451
150;ee58590892285a1b8b123b02ad2e24ff;0,1,0,1;0,0,1,1;-0.04558,-0.4328,-0.25955,0.27451
151;1c96b5cc4337485697f36ab8526e5d2d;0,1,0,1;0,0,1,1;0.20555,0.30832,-0.28468,-0.080252
152;8ddcf17cb9a77b959177e01ea9eac5ea;0,1,0,1;0,0,1,1;-0.20555,-0.30832,0.28468,0.080252
153;5e9ca2a2b1419a14102e743419fc21cc;0,1,0,1;0,0,1,1;0.0033838,0.53321,0.39917,0.030558
154;b162bd935fa02286f7fe201ceaa327c6;0,1,0,1;0,0,1,1;-0.0033838,-0.53321,-0.39917,-0.030558
155;4ab7680121e68c3190816dddc990f50b;0,1,0,1;0,0,1,1;-0.37691,-0.36413,-0.4608,0.44319
156;1978679b20a4491c9e0912eeeb323f63;0,1,0,1;0,0,1,1;0.37691,0.36413,0.4608,-0.44319
157;e837b16cfce0083e16b8b77e32e65d6c;0,1,0,1;0,0,1,1;-0.0010909,0.26218,0.079994,-0.27124
158;5029bc3b7d7a7178025f2cd4eaeff66a;0,1,0,1;0,0,1,1;0.0010909,-0.26218,-0.079994,0.27124
159;d0e4840ec6fa10d1be1602b33f3045c7;0,1,0,1;0,0,1,1;-0.068679,0.074312,0.46009,0.53215
160;8cd352ebbe8af9ff9ad03f241592330c;0,1,0,1;0,0,1,1;0.068679,-0.074312,-0.46009,-0.53215
161;255b2fe2dd4481c301981eb44b9ca2c2;0,1,0,1;0,0,1,1;0.25504,0.23829,-0.13811,0.48572
162;d21dec2aa9403adc9f0defdc38ed6a60;0,1,0,1;0,0,1,1;-0.25504,-0.23829,0.13811,-0.48572
163;3eb1f1dacf2504cfeaca10fa9a235e24;0,1,0,1;0,0,1,1;-0.21268,0.16007,-0.25615,-0.035111
164;0348c4827f002b4decf80a1918d2169a;0,1,0,1;0,0,1,1;0.21268,-0.16007,0.25615,0.035111
165;624d49ec95ff5c43e83fc5a3058627ad;0,1,0,1;0,0,1,1;-0.28886,0.34396,-0.028563,0.29416
166;f076dc7a38a72d20c14def2a0b81c251;0,1,0,1;0,0,1,1;0.28886,-0.34396,0.028563,-0.29416
167;e0beaea894bc6ef9bb57456b39a0fea5;0,1,0,1;0,0,1,1;0.045388,0.25582,0.2721,-0.17749
168;64093f34cc50965696dd97d32ac4f312;0,1,0,1;0,0,1,1;-0.045388,-0.25582,-0.2721,0.17749
169;7d0168c54ee4689a293fc27220c6dc0d;0,1,0,1;0,0,1,1;-0.13614,-0.1836,0.2799,-0.1837
170;843daa33eade1683dcf27cd70399b4dc;0,1,0,1;0,0,1,1;0.13614,0.1836,-0.2799,0.1837
171;dc93b629d70610057ee88e4a1050d9d3;0,1,0,1;0,0,1,1;-0.021352,0.8131,-0.07908,0.0603
172;5734ce490fe647a8a33e2e4c01934ec3;0,1,0,1;0,0,1,1;0.021352,-0.8131,0.07908,-0.0603
173;162139263dad1565c81da5242d7403bb;0,1,0,1;0,0,1,1;0.044581,-0.22608,0.3705,-0.31565
174;215bf7fffa271848a07010be935c2ea3;0,1,0,1;0,0,1,1;-0.044581,0.22608,-0.3705,0.31565
175;662f2b7b69fbe7b68fee361ac342395d;0,1,0,1;0,0,1,1;0.38065,-0.24877,0.25238,0.054727
176;243fc11d41e81b4a83e3b3cf28cbb6fe;0,1,0,1;0,0,1,1;-0.38065,0.24877,-0.25238,-0.054727
177;f21f8e4588a78964867c8d1187970f51;0,1,0,1;0,0,1,1;-0.23876,0.26773,-0.057262,0.016951
178;eef603c79d5dd80eab782fe2c64bd518;0,1,0,1;0,0,1,1;0.23876,-0.26773,0.057262,-0.016951
